"Your_github","Instructions"
"fjbasedow","Please review the hw06 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw06-lsloboda) and [aleurcelay](https://github.com/STAT545-UBC-students/hw06-aleurcelay)."
"funkedavid82","Please review the hw06 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw06-zhamadeh) and [rning-wu](https://github.com/STAT545-UBC-students/hw06-rning-wu)."
"g-ziyan","Please review the hw06 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw06-ziqiangt) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw06-MalcolmNSB)."
"garyzhubc","Please review the hw06 submission of [ecool50](https://github.com/STAT545-UBC-students/hw06-ecool50) and [slumnitz](https://github.com/STAT545-UBC-students/hw06-slumnitz)."
"Irissq28","Please review the hw06 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw06-emreerhan) and [rgryba](https://github.com/STAT545-UBC-students/hw06-rgryba)."
"iyaniwura","Please review the hw06 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw06-j-schaub) and [aidanh14](https://github.com/STAT545-UBC-students/hw06-aidanh14)."
"j-schaub","Please review the hw06 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw06-aidanh14) and [rachlobay](https://github.com/STAT545-UBC-students/hw06-rachlobay)."
"janehuang1647","Please review the hw06 submission of [liao02x](https://github.com/STAT545-UBC-students/hw06-liao02x) and [curtis77](https://github.com/STAT545-UBC-students/hw06-curtis77)."
"JasmineLib","Please review the hw06 submission of [schignel](https://github.com/STAT545-UBC-students/hw06-schignel) and [alvin-q](https://github.com/STAT545-UBC-students/hw06-alvin-q)."
"Kate96","Please review the hw06 submission of [liming17](https://github.com/STAT545-UBC-students/hw06-liming17) and [zeeva85](https://github.com/STAT545-UBC-students/hw06-zeeva85)."
"katiezinn","Please review the hw06 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw06-janehuang1647) and [liao02x](https://github.com/STAT545-UBC-students/hw06-liao02x)."
"lh563","Please review the hw06 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw06-chenchenguo) and [Kate96](https://github.com/STAT545-UBC-students/hw06-Kate96)."
"liao02x","Please review the hw06 submission of [curtis77](https://github.com/STAT545-UBC-students/hw06-curtis77) and [zjbthomas](https://github.com/STAT545-UBC-students/hw06-zjbthomas)."
"liming17","Please review the hw06 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw06-zeeva85) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw06-Caroline-Seip)."
"liuyadong08","Please review the hw06 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw06-g-ziyan) and [ziqiangt](https://github.com/STAT545-UBC-students/hw06-ziqiangt)."
"lsloboda","Please review the hw06 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw06-aleurcelay) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw06-MaunishUBC)."
"MalcolmNSB","Please review the hw06 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw06-garyzhubc) and [ecool50](https://github.com/STAT545-UBC-students/hw06-ecool50)."
"MaunishUBC","Please review the hw06 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw06-CeciliaLe07) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw06-YuHsiangLo)."
"meiqiyu","Please review the hw06 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw06-iyaniwura) and [j-schaub](https://github.com/STAT545-UBC-students/hw06-j-schaub)."
"Mengsuper","Please review the hw06 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw06-QinxinLin) and [funkedavid82](https://github.com/STAT545-UBC-students/hw06-funkedavid82)."
"MielleM","Please review the hw06 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw06-acheng-ubc) and [Mengsuper](https://github.com/STAT545-UBC-students/hw06-Mengsuper)."
"patriciata","Please review the hw06 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw06-liuyadong08) and [g-ziyan](https://github.com/STAT545-UBC-students/hw06-g-ziyan)."
"QinxinLin","Please review the hw06 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw06-funkedavid82) and [zhamadeh](https://github.com/STAT545-UBC-students/hw06-zhamadeh)."
"rachlobay","Please review the hw06 submission of [MielleM](https://github.com/STAT545-UBC-students/hw06-MielleM) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw06-acheng-ubc)."
"rasiimwe","Please review the hw06 submission of [figalit](https://github.com/STAT545-UBC-students/hw06-figalit) and [fjbasedow](https://github.com/STAT545-UBC-students/hw06-fjbasedow)."
"rgryba","Please review the hw06 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw06-ShreeramSenthi) and [lh563](https://github.com/STAT545-UBC-students/hw06-lh563)."
"rning-wu","Please review the hw06 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw06-tsmith93) and [Sukeysun](https://github.com/STAT545-UBC-students/hw06-Sukeysun)."
"RyanGao67","Please review the hw06 submission of [divita95](https://github.com/STAT545-UBC-students/hw06-divita95) and [katiezinn](https://github.com/STAT545-UBC-students/hw06-katiezinn)."
"schignel","Please review the hw06 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw06-alvin-q) and [Bill1111](https://github.com/STAT545-UBC-students/hw06-Bill1111)."
"ShreeramSenthi","Please review the hw06 submission of [lh563](https://github.com/STAT545-UBC-students/hw06-lh563) and [chenchenguo](https://github.com/STAT545-UBC-students/hw06-chenchenguo)."
"slumnitz","Please review the hw06 submission of [yavyx](https://github.com/STAT545-UBC-students/hw06-yavyx) and [JasmineLib](https://github.com/STAT545-UBC-students/hw06-JasmineLib)."
"Sukeysun","Please review the hw06 submission of [patriciata](https://github.com/STAT545-UBC-students/hw06-patriciata) and [liuyadong08](https://github.com/STAT545-UBC-students/hw06-liuyadong08)."
"tanvimittal71","Please review the hw06 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw06-yihaoz) and [yukirang](https://github.com/STAT545-UBC-students/hw06-yukirang)."
"tsmith93","Please review the hw06 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw06-Sukeysun) and [patriciata](https://github.com/STAT545-UBC-students/hw06-patriciata)."
"yavyx","Please review the hw06 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw06-JasmineLib) and [schignel](https://github.com/STAT545-UBC-students/hw06-schignel)."
"yihaoz","Please review the hw06 submission of [yukirang](https://github.com/STAT545-UBC-students/hw06-yukirang) and [RyanGao67](https://github.com/STAT545-UBC-students/hw06-RyanGao67)."
"YuHsiangLo","Please review the hw06 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw06-meiqiyu) and [iyaniwura](https://github.com/STAT545-UBC-students/hw06-iyaniwura)."
"yukirang","Please review the hw06 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw06-RyanGao67) and [divita95](https://github.com/STAT545-UBC-students/hw06-divita95)."
"zeeva85","Please review the hw06 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw06-Caroline-Seip) and [rasiimwe](https://github.com/STAT545-UBC-students/hw06-rasiimwe)."
"zhamadeh","Please review the hw06 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw06-rning-wu) and [tsmith93](https://github.com/STAT545-UBC-students/hw06-tsmith93)."
"ziqiangt","Please review the hw06 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw06-MalcolmNSB) and [garyzhubc](https://github.com/STAT545-UBC-students/hw06-garyzhubc)."
"zjbthomas","Please review the hw06 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw06-Irissq28) and [emreerhan](https://github.com/STAT545-UBC-students/hw06-emreerhan)."
