"Your_github","Instructions"
"acheng-ubc","Please review the hw06 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw06-Mengsuper) and [QinxinLin](https://github.com/STAT545-UBC-students/hw06-QinxinLin)."
"aidanh14","Please review the hw06 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw06-rachlobay) and [MielleM](https://github.com/STAT545-UBC-students/hw06-MielleM)."
"aleurcelay","Please review the hw06 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw06-MaunishUBC) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw06-CeciliaLe07)."
"alvin-q","Please review the hw06 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw06-Bill1111) and [bassamjaved](https://github.com/STAT545-UBC-students/hw06-bassamjaved)."
"bassamjaved","Please review the hw06 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw06-tanvimittal71) and [yihaoz](https://github.com/STAT545-UBC-students/hw06-yihaoz)."
"Bill1111","Please review the hw06 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw06-bassamjaved) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw06-tanvimittal71)."
"Caroline-Seip","Please review the hw06 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw06-rasiimwe) and [figalit](https://github.com/STAT545-UBC-students/hw06-figalit)."
"CeciliaLe07","Please review the hw06 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw06-YuHsiangLo) and [meiqiyu](https://github.com/STAT545-UBC-students/hw06-meiqiyu)."
"chenchenguo","Please review the hw06 submission of [Kate96](https://github.com/STAT545-UBC-students/hw06-Kate96) and [liming17](https://github.com/STAT545-UBC-students/hw06-liming17)."
"curtis77","Please review the hw06 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw06-zjbthomas) and [Irissq28](https://github.com/STAT545-UBC-students/hw06-Irissq28)."
"divita95","Please review the hw06 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw06-katiezinn) and [janehuang1647](https://github.com/STAT545-UBC-students/hw06-janehuang1647)."
"ecool50","Please review the hw06 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw06-slumnitz) and [yavyx](https://github.com/STAT545-UBC-students/hw06-yavyx)."
"emreerhan","Please review the hw06 submission of [rgryba](https://github.com/STAT545-UBC-students/hw06-rgryba) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw06-ShreeramSenthi)."
"figalit","Please review the hw06 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw06-fjbasedow) and [lsloboda](https://github.com/STAT545-UBC-students/hw06-lsloboda)."
