"Your_github","Instructions"
"451error","Please review the hw01 submission of [MielleM](https://github.com/STAT545-UBC-students/hw01-MielleM) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw01-acheng-ubc)."
"acheng-ubc","Please review the hw01 submission of [RetoSterchi](https://github.com/STAT545-UBC-students/hw01-RetoSterchi) and [JasmineLib](https://github.com/STAT545-UBC-students/hw01-JasmineLib)."
"albina23","Please review the hw01 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw01-zjbthomas) and [liuyadong08](https://github.com/STAT545-UBC-students/hw01-liuyadong08)."
"aleurcelay","Please review the hw01 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw01-janehuang1647) and [ShuxianFan](https://github.com/STAT545-UBC-students/hw01-ShuxianFan)."
"AlexaTanner","Please review the hw01 submission of [yavyx](https://github.com/STAT545-UBC-students/hw01-yavyx) and [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw01-glenn-mcguinness)."
"alorentzian","Please review the hw01 submission of [xcct2012](https://github.com/STAT545-UBC-students/hw01-xcct2012) and [iyaniwura](https://github.com/STAT545-UBC-students/hw01-iyaniwura)."
"alvin-q","Please review the hw01 submission of [cbnicolau](https://github.com/STAT545-UBC-students/hw01-cbnicolau) and [yukirang](https://github.com/STAT545-UBC-students/hw01-yukirang)."
"aschmalor","Please review the hw01 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw01-alvin-q) and [cbnicolau](https://github.com/STAT545-UBC-students/hw01-cbnicolau)."
"bassamjaved","Please review the hw01 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw01-Bill1111) and [figalit](https://github.com/STAT545-UBC-students/hw01-figalit)."
"Bill1111","Please review the hw01 submission of [figalit](https://github.com/STAT545-UBC-students/hw01-figalit) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw01-tanvimittal71)."
"Caroline-Seip","Please review the hw01 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw01-ShreeramSenthi) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw01-MaunishUBC)."
"cbnicolau","Please review the hw01 submission of [yukirang](https://github.com/STAT545-UBC-students/hw01-yukirang) and [slumnitz](https://github.com/STAT545-UBC-students/hw01-slumnitz)."
"CeciliaLe07","Please review the hw01 submission of [451error](https://github.com/STAT545-UBC-students/hw01-451error) and [MielleM](https://github.com/STAT545-UBC-students/hw01-MielleM)."
"chenchenguo","Please review the hw01 submission of [divita95](https://github.com/STAT545-UBC-students/hw01-divita95) and [liao02x](https://github.com/STAT545-UBC-students/hw01-liao02x)."
"conradtsang","Please review the hw01 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw01-rachlobay) and [fjbasedow](https://github.com/STAT545-UBC-students/hw01-fjbasedow)."
"couBC","Please review the hw01 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw01-chenchenguo) and [divita95](https://github.com/STAT545-UBC-students/hw01-divita95)."
