"Your_github","Instructions"
"curtis77","Please review the hw01 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw01-CeciliaLe07) and [451error](https://github.com/STAT545-UBC-students/hw01-451error)."
"divita95","Please review the hw01 submission of [liao02x](https://github.com/STAT545-UBC-students/hw01-liao02x) and [curtis77](https://github.com/STAT545-UBC-students/hw01-curtis77)."
"eaerh","Please review the hw01 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw01-g-ziyan) and [yihaoz](https://github.com/STAT545-UBC-students/hw01-yihaoz)."
"ecool50","Please review the hw01 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw01-zhamadeh) and [tsmith93](https://github.com/STAT545-UBC-students/hw01-tsmith93)."
"emreerhan","Please review the hw01 submission of [ntjjmak](https://github.com/STAT545-UBC-students/hw01-ntjjmak) and [jkioke](https://github.com/STAT545-UBC-students/hw01-jkioke)."
"ericjsanders","Please review the hw01 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw01-bassamjaved) and [Bill1111](https://github.com/STAT545-UBC-students/hw01-Bill1111)."
"ErnestL91","Please review the hw01 submission of [ecool50](https://github.com/STAT545-UBC-students/hw01-ecool50) and [zhamadeh](https://github.com/STAT545-UBC-students/hw01-zhamadeh)."
"figalit","Please review the hw01 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw01-tanvimittal71) and [emreerhan](https://github.com/STAT545-UBC-students/hw01-emreerhan)."
"fjbasedow","Please review the hw01 submission of [malvikamitra1](https://github.com/STAT545-UBC-students/hw01-malvikamitra1) and [Greenhan](https://github.com/STAT545-UBC-students/hw01-Greenhan)."
"funkedavid82","Please review the hw01 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw01-rasiimwe) and [Irissq28](https://github.com/STAT545-UBC-students/hw01-Irissq28)."
"g-ziyan","Please review the hw01 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw01-yihaoz) and [mattsada](https://github.com/STAT545-UBC-students/hw01-mattsada)."
"garyzhubc","Please review the hw01 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw01-QinxinLin) and [vetlebh](https://github.com/STAT545-UBC-students/hw01-vetlebh)."
"glenn-mcguinness","Please review the hw01 submission of [liming17](https://github.com/STAT545-UBC-students/hw01-liming17) and [couBC](https://github.com/STAT545-UBC-students/hw01-couBC)."
"Greenhan","Please review the hw01 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw01-zeeva85) and [funkedavid82](https://github.com/STAT545-UBC-students/hw01-funkedavid82)."
"gsgarbi","Please review the hw01 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw01-Mengsuper) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw01-YuHsiangLo)."
"huangjieying","Please review the hw01 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw01-RyanGao67) and [Ninadh](https://github.com/STAT545-UBC-students/hw01-Ninadh)."
"Irissq28","Please review the hw01 submission of [huangjieying](https://github.com/STAT545-UBC-students/hw01-huangjieying) and [RyanGao67](https://github.com/STAT545-UBC-students/hw01-RyanGao67)."
"iyaniwura","Please review the hw01 submission of [albina23](https://github.com/STAT545-UBC-students/hw01-albina23) and [zjbthomas](https://github.com/STAT545-UBC-students/hw01-zjbthomas)."
"j-schaub","Please review the hw01 submission of [lucymosquera](https://github.com/STAT545-UBC-students/hw01-lucymosquera) and [lsloboda](https://github.com/STAT545-UBC-students/hw01-lsloboda)."
"janehuang1647","Please review the hw01 submission of [ShuxianFan](https://github.com/STAT545-UBC-students/hw01-ShuxianFan) and [ericjsanders](https://github.com/STAT545-UBC-students/hw01-ericjsanders)."
"JasmineLib","Please review the hw01 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw01-garyzhubc) and [QinxinLin](https://github.com/STAT545-UBC-students/hw01-QinxinLin)."
"jkioke","Please review the hw01 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw01-Sukeysun) and [conradtsang](https://github.com/STAT545-UBC-students/hw01-conradtsang)."
"jondeuce","Please review the hw01 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw01-rning-wu) and [Kate96](https://github.com/STAT545-UBC-students/hw01-Kate96)."
"Kate96","Please review the hw01 submission of [gsgarbi](https://github.com/STAT545-UBC-students/hw01-gsgarbi) and [Mengsuper](https://github.com/STAT545-UBC-students/hw01-Mengsuper)."
"liao02x","Please review the hw01 submission of [curtis77](https://github.com/STAT545-UBC-students/hw01-curtis77) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw01-CeciliaLe07)."
"liming17","Please review the hw01 submission of [couBC](https://github.com/STAT545-UBC-students/hw01-couBC) and [chenchenguo](https://github.com/STAT545-UBC-students/hw01-chenchenguo)."
"liuyadong08","Please review the hw01 submission of [ErnestL91](https://github.com/STAT545-UBC-students/hw01-ErnestL91) and [ecool50](https://github.com/STAT545-UBC-students/hw01-ecool50)."
"lsloboda","Please review the hw01 submission of [AlexaTanner](https://github.com/STAT545-UBC-students/hw01-AlexaTanner) and [yavyx](https://github.com/STAT545-UBC-students/hw01-yavyx)."
"lucymosquera","Please review the hw01 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw01-lsloboda) and [AlexaTanner](https://github.com/STAT545-UBC-students/hw01-AlexaTanner)."
"MalcolmNSB","Please review the hw01 submission of [jondeuce](https://github.com/STAT545-UBC-students/hw01-jondeuce) and [rning-wu](https://github.com/STAT545-UBC-students/hw01-rning-wu)."
"malvikamitra1","Please review the hw01 submission of [Greenhan](https://github.com/STAT545-UBC-students/hw01-Greenhan) and [zeeva85](https://github.com/STAT545-UBC-students/hw01-zeeva85)."
"mattsada","Please review the hw01 submission of [seraphinearnold](https://github.com/STAT545-UBC-students/hw01-seraphinearnold) and [alorentzian](https://github.com/STAT545-UBC-students/hw01-alorentzian)."
"MaunishUBC","Please review the hw01 submission of [aschmalor](https://github.com/STAT545-UBC-students/hw01-aschmalor) and [alvin-q](https://github.com/STAT545-UBC-students/hw01-alvin-q)."
"Mengsuper","Please review the hw01 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw01-YuHsiangLo) and [j-schaub](https://github.com/STAT545-UBC-students/hw01-j-schaub)."
"MielleM","Please review the hw01 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw01-acheng-ubc) and [RetoSterchi](https://github.com/STAT545-UBC-students/hw01-RetoSterchi)."
"Ninadh","Please review the hw01 submission of [eaerh](https://github.com/STAT545-UBC-students/hw01-eaerh) and [g-ziyan](https://github.com/STAT545-UBC-students/hw01-g-ziyan)."
"ntjjmak","Please review the hw01 submission of [jkioke](https://github.com/STAT545-UBC-students/hw01-jkioke) and [Sukeysun](https://github.com/STAT545-UBC-students/hw01-Sukeysun)."
"QinxinLin","Please review the hw01 submission of [vetlebh](https://github.com/STAT545-UBC-students/hw01-vetlebh) and [aleurcelay](https://github.com/STAT545-UBC-students/hw01-aleurcelay)."
"rachlobay","Please review the hw01 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw01-fjbasedow) and [malvikamitra1](https://github.com/STAT545-UBC-students/hw01-malvikamitra1)."
"rasiimwe","Please review the hw01 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw01-Irissq28) and [huangjieying](https://github.com/STAT545-UBC-students/hw01-huangjieying)."
"RetoSterchi","Please review the hw01 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw01-JasmineLib) and [garyzhubc](https://github.com/STAT545-UBC-students/hw01-garyzhubc)."
"rning-wu","Please review the hw01 submission of [Kate96](https://github.com/STAT545-UBC-students/hw01-Kate96) and [gsgarbi](https://github.com/STAT545-UBC-students/hw01-gsgarbi)."
"RyanGao67","Please review the hw01 submission of [Ninadh](https://github.com/STAT545-UBC-students/hw01-Ninadh) and [eaerh](https://github.com/STAT545-UBC-students/hw01-eaerh)."
"schignel","Please review the hw01 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw01-MalcolmNSB) and [jondeuce](https://github.com/STAT545-UBC-students/hw01-jondeuce)."
"seraphinearnold","Please review the hw01 submission of [alorentzian](https://github.com/STAT545-UBC-students/hw01-alorentzian) and [xcct2012](https://github.com/STAT545-UBC-students/hw01-xcct2012)."
"ShreeramSenthi","Please review the hw01 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw01-MaunishUBC) and [aschmalor](https://github.com/STAT545-UBC-students/hw01-aschmalor)."
"ShuxianFan","Please review the hw01 submission of [ericjsanders](https://github.com/STAT545-UBC-students/hw01-ericjsanders) and [bassamjaved](https://github.com/STAT545-UBC-students/hw01-bassamjaved)."
"slumnitz","Please review the hw01 submission of [schignel](https://github.com/STAT545-UBC-students/hw01-schignel) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw01-MalcolmNSB)."
"Sukeysun","Please review the hw01 submission of [conradtsang](https://github.com/STAT545-UBC-students/hw01-conradtsang) and [rachlobay](https://github.com/STAT545-UBC-students/hw01-rachlobay)."
"tanvimittal71","Please review the hw01 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw01-emreerhan) and [ntjjmak](https://github.com/STAT545-UBC-students/hw01-ntjjmak)."
"tsmith93","Please review the hw01 submission of [zuhengxu](https://github.com/STAT545-UBC-students/hw01-zuhengxu) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw01-Caroline-Seip)."
"vetlebh","Please review the hw01 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw01-aleurcelay) and [janehuang1647](https://github.com/STAT545-UBC-students/hw01-janehuang1647)."
"xcct2012","Please review the hw01 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw01-iyaniwura) and [albina23](https://github.com/STAT545-UBC-students/hw01-albina23)."
"yavyx","Please review the hw01 submission of [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw01-glenn-mcguinness) and [liming17](https://github.com/STAT545-UBC-students/hw01-liming17)."
"yihaoz","Please review the hw01 submission of [mattsada](https://github.com/STAT545-UBC-students/hw01-mattsada) and [seraphinearnold](https://github.com/STAT545-UBC-students/hw01-seraphinearnold)."
"YuHsiangLo","Please review the hw01 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw01-j-schaub) and [lucymosquera](https://github.com/STAT545-UBC-students/hw01-lucymosquera)."
"yukirang","Please review the hw01 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw01-slumnitz) and [schignel](https://github.com/STAT545-UBC-students/hw01-schignel)."
"zeeva85","Please review the hw01 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw01-funkedavid82) and [rasiimwe](https://github.com/STAT545-UBC-students/hw01-rasiimwe)."
"zhamadeh","Please review the hw01 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw01-tsmith93) and [zuhengxu](https://github.com/STAT545-UBC-students/hw01-zuhengxu)."
"zjbthomas","Please review the hw01 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw01-liuyadong08) and [ErnestL91](https://github.com/STAT545-UBC-students/hw01-ErnestL91)."
"zuhengxu","Please review the hw01 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw01-Caroline-Seip) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw01-ShreeramSenthi)."
