"Your_github","Instructions"
"acheng-ubc","Please review the hw09 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw09-emreerhan) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw09-YuHsiangLo)."
"aidanh14","Please review the hw09 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw09-alvin-q) and [lsloboda](https://github.com/STAT545-UBC-students/hw09-lsloboda)."
"aleurcelay","Please review the hw09 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw09-iyaniwura) and [rachlobay](https://github.com/STAT545-UBC-students/hw09-rachlobay)."
"alvin-q","Please review the hw09 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw09-lsloboda) and [j-schaub](https://github.com/STAT545-UBC-students/hw09-j-schaub)."
"bassamjaved","Please review the hw09 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw09-tanvimittal71) and [figalit](https://github.com/STAT545-UBC-students/hw09-figalit)."
"Bill1111","Please review the hw09 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw09-Irissq28) and [aleurcelay](https://github.com/STAT545-UBC-students/hw09-aleurcelay)."
"Caroline-Seip","Please review the hw09 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw09-aidanh14) and [alvin-q](https://github.com/STAT545-UBC-students/hw09-alvin-q)."
"CeciliaLe07","Please review the hw09 submission of [Kate96](https://github.com/STAT545-UBC-students/hw09-Kate96) and [bassamjaved](https://github.com/STAT545-UBC-students/hw09-bassamjaved)."
"chenchenguo","Please review the hw09 submission of [yavyx](https://github.com/STAT545-UBC-students/hw09-yavyx) and [Mengsuper](https://github.com/STAT545-UBC-students/hw09-Mengsuper)."
"curtis77","Please review the hw09 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw09-katiezinn) and [RyanGao67](https://github.com/STAT545-UBC-students/hw09-RyanGao67)."
"divita95","Please review the hw09 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw09-fjbasedow) and [meiqiyu](https://github.com/STAT545-UBC-students/hw09-meiqiyu)."
"ecool50","Please review the hw09 submission of [MielleM](https://github.com/STAT545-UBC-students/hw09-MielleM) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw09-MaunishUBC)."
"emreerhan","Please review the hw09 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw09-YuHsiangLo) and [garyzhubc](https://github.com/STAT545-UBC-students/hw09-garyzhubc)."
"figalit","Please review the hw09 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw09-Caroline-Seip) and [aidanh14](https://github.com/STAT545-UBC-students/hw09-aidanh14)."
"fjbasedow","Please review the hw09 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw09-meiqiyu) and [liuyadong08](https://github.com/STAT545-UBC-students/hw09-liuyadong08)."
"funkedavid82","Please review the hw09 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw09-slumnitz) and [tsmith93](https://github.com/STAT545-UBC-students/hw09-tsmith93)."
"g-ziyan","Please review the hw09 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw09-zjbthomas) and [zhamadeh](https://github.com/STAT545-UBC-students/hw09-zhamadeh)."
"garyzhubc","Please review the hw09 submission of [lh563](https://github.com/STAT545-UBC-students/hw09-lh563) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw09-MalcolmNSB)."
"Irissq28","Please review the hw09 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw09-aleurcelay) and [iyaniwura](https://github.com/STAT545-UBC-students/hw09-iyaniwura)."
"iyaniwura","Please review the hw09 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw09-rachlobay) and [schignel](https://github.com/STAT545-UBC-students/hw09-schignel)."
"j-schaub","Please review the hw09 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw09-g-ziyan) and [zjbthomas](https://github.com/STAT545-UBC-students/hw09-zjbthomas)."
"janehuang1647","Please review the hw09 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw09-ziqiangt) and [Sukeysun](https://github.com/STAT545-UBC-students/hw09-Sukeysun)."
"JasmineLib","Please review the hw09 submission of [yukirang](https://github.com/STAT545-UBC-students/hw09-yukirang) and [liao02x](https://github.com/STAT545-UBC-students/hw09-liao02x)."
"Kate96","Please review the hw09 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw09-bassamjaved) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw09-tanvimittal71)."
"katiezinn","Please review the hw09 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw09-RyanGao67) and [patriciata](https://github.com/STAT545-UBC-students/hw09-patriciata)."
"lh563","Please review the hw09 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw09-MalcolmNSB) and [rasiimwe](https://github.com/STAT545-UBC-students/hw09-rasiimwe)."
"liao02x","Please review the hw09 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw09-CeciliaLe07) and [Kate96](https://github.com/STAT545-UBC-students/hw09-Kate96)."
"liming17","Please review the hw09 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw09-funkedavid82) and [slumnitz](https://github.com/STAT545-UBC-students/hw09-slumnitz)."
