"Your_github","Instructions"
"liuyadong08","Please review the hw09 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw09-chenchenguo) and [yavyx](https://github.com/STAT545-UBC-students/hw09-yavyx)."
"lsloboda","Please review the hw09 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw09-j-schaub) and [g-ziyan](https://github.com/STAT545-UBC-students/hw09-g-ziyan)."
"MalcolmNSB","Please review the hw09 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw09-rasiimwe) and [liming17](https://github.com/STAT545-UBC-students/hw09-liming17)."
"MaunishUBC","Please review the hw09 submission of [curtis77](https://github.com/STAT545-UBC-students/hw09-curtis77) and [katiezinn](https://github.com/STAT545-UBC-students/hw09-katiezinn)."
"meiqiyu","Please review the hw09 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw09-liuyadong08) and [chenchenguo](https://github.com/STAT545-UBC-students/hw09-chenchenguo)."
"Mengsuper","Please review the hw09 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw09-zeeva85) and [rning-wu](https://github.com/STAT545-UBC-students/hw09-rning-wu)."
"MielleM","Please review the hw09 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw09-MaunishUBC) and [curtis77](https://github.com/STAT545-UBC-students/hw09-curtis77)."
"patriciata","Please review the hw09 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw09-Bill1111) and [Irissq28](https://github.com/STAT545-UBC-students/hw09-Irissq28)."
"QinxinLin","Please review the hw09 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw09-JasmineLib) and [yukirang](https://github.com/STAT545-UBC-students/hw09-yukirang)."
"rachlobay","Please review the hw09 submission of [schignel](https://github.com/STAT545-UBC-students/hw09-schignel) and [janehuang1647](https://github.com/STAT545-UBC-students/hw09-janehuang1647)."
"rasiimwe","Please review the hw09 submission of [liming17](https://github.com/STAT545-UBC-students/hw09-liming17) and [funkedavid82](https://github.com/STAT545-UBC-students/hw09-funkedavid82)."
"rgryba","Please review the hw09 submission of [ecool50](https://github.com/STAT545-UBC-students/hw09-ecool50) and [MielleM](https://github.com/STAT545-UBC-students/hw09-MielleM)."
"rning-wu","Please review the hw09 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw09-acheng-ubc) and [emreerhan](https://github.com/STAT545-UBC-students/hw09-emreerhan)."
"RyanGao67","Please review the hw09 submission of [patriciata](https://github.com/STAT545-UBC-students/hw09-patriciata) and [Bill1111](https://github.com/STAT545-UBC-students/hw09-Bill1111)."
"schignel","Please review the hw09 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw09-janehuang1647) and [ziqiangt](https://github.com/STAT545-UBC-students/hw09-ziqiangt)."
"ShreeramSenthi","Please review the hw09 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw09-QinxinLin) and [JasmineLib](https://github.com/STAT545-UBC-students/hw09-JasmineLib)."
"slumnitz","Please review the hw09 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw09-tsmith93) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw09-ShreeramSenthi)."
"Sukeysun","Please review the hw09 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw09-yihaoz) and [divita95](https://github.com/STAT545-UBC-students/hw09-divita95)."
"tanvimittal71","Please review the hw09 submission of [figalit](https://github.com/STAT545-UBC-students/hw09-figalit) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw09-Caroline-Seip)."
"tsmith93","Please review the hw09 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw09-ShreeramSenthi) and [QinxinLin](https://github.com/STAT545-UBC-students/hw09-QinxinLin)."
"yavyx","Please review the hw09 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw09-Mengsuper) and [zeeva85](https://github.com/STAT545-UBC-students/hw09-zeeva85)."
"yihaoz","Please review the hw09 submission of [divita95](https://github.com/STAT545-UBC-students/hw09-divita95) and [fjbasedow](https://github.com/STAT545-UBC-students/hw09-fjbasedow)."
"YuHsiangLo","Please review the hw09 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw09-garyzhubc) and [lh563](https://github.com/STAT545-UBC-students/hw09-lh563)."
"yukirang","Please review the hw09 submission of [liao02x](https://github.com/STAT545-UBC-students/hw09-liao02x) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw09-CeciliaLe07)."
"zeeva85","Please review the hw09 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw09-rning-wu) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw09-acheng-ubc)."
"zhamadeh","Please review the hw09 submission of [rgryba](https://github.com/STAT545-UBC-students/hw09-rgryba) and [ecool50](https://github.com/STAT545-UBC-students/hw09-ecool50)."
"ziqiangt","Please review the hw09 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw09-Sukeysun) and [yihaoz](https://github.com/STAT545-UBC-students/hw09-yihaoz)."
"zjbthomas","Please review the hw09 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw09-zhamadeh) and [rgryba](https://github.com/STAT545-UBC-students/hw09-rgryba)."
