"Your_github","Instructions"
"451error","Please review the hw05 submission of [couBC](https://github.com/STAT545-UBC-students/hw05-couBC) and [zeeva85](https://github.com/STAT545-UBC-students/hw05-zeeva85)."
"acheng-ubc","Please review the hw05 submission of [schignel](https://github.com/STAT545-UBC-students/hw05-schignel) and [malvikamitra1](https://github.com/STAT545-UBC-students/hw05-malvikamitra1)."
"aidanh14","Please review the hw05 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw05-bassamjaved) and [QinxinLin](https://github.com/STAT545-UBC-students/hw05-QinxinLin)."
"albina23","Please review the hw05 submission of [zuhengxu](https://github.com/STAT545-UBC-students/hw05-zuhengxu) and [ErnestL91](https://github.com/STAT545-UBC-students/hw05-ErnestL91)."
"aleurcelay","Please review the hw05 submission of [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw05-glenn-mcguinness) and [ShuxianFan](https://github.com/STAT545-UBC-students/hw05-ShuxianFan)."
"alorentzian","Please review the hw05 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw05-emreerhan) and [jkioke](https://github.com/STAT545-UBC-students/hw05-jkioke)."
"alvin-q","Please review the hw05 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw05-garyzhubc) and [Bill1111](https://github.com/STAT545-UBC-students/hw05-Bill1111)."
"aschmalor","Please review the hw05 submission of [MielleM](https://github.com/STAT545-UBC-students/hw05-MielleM) and [Mengsuper](https://github.com/STAT545-UBC-students/hw05-Mengsuper)."
"bassamjaved","Please review the hw05 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw05-QinxinLin) and [yavyx](https://github.com/STAT545-UBC-students/hw05-yavyx)."
"Bill1111","Please review the hw05 submission of [divita95](https://github.com/STAT545-UBC-students/hw05-divita95) and [xcct2012](https://github.com/STAT545-UBC-students/hw05-xcct2012)."
"Caroline-Seip","Please review the hw05 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw05-ziqiangt) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw05-acheng-ubc)."
"cbnicolau","Please review the hw05 submission of [Ninadh](https://github.com/STAT545-UBC-students/hw05-Ninadh) and [alvin-q](https://github.com/STAT545-UBC-students/hw05-alvin-q)."
"CeciliaLe07","Please review the hw05 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw05-rasiimwe) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw05-tanvimittal71)."
"chenchenguo","Please review the hw05 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw05-iyaniwura) and [tsmith93](https://github.com/STAT545-UBC-students/hw05-tsmith93)."
"couBC","Please review the hw05 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw05-zeeva85) and [JasmineLib](https://github.com/STAT545-UBC-students/hw05-JasmineLib)."
"curtis77","Please review the hw05 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw05-lsloboda) and [liming17](https://github.com/STAT545-UBC-students/hw05-liming17)."
"dirediredocks","Please review the hw05 submission of [eaerh](https://github.com/STAT545-UBC-students/hw05-eaerh) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw05-ShreeramSenthi)."
"divita95","Please review the hw05 submission of [xcct2012](https://github.com/STAT545-UBC-students/hw05-xcct2012) and [Kate96](https://github.com/STAT545-UBC-students/hw05-Kate96)."
"eaerh","Please review the hw05 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw05-ShreeramSenthi) and [aleurcelay](https://github.com/STAT545-UBC-students/hw05-aleurcelay)."
"ecool50","Please review the hw05 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw05-zhamadeh) and [aschmalor](https://github.com/STAT545-UBC-students/hw05-aschmalor)."
"emreerhan","Please review the hw05 submission of [jkioke](https://github.com/STAT545-UBC-students/hw05-jkioke) and [rning-wu](https://github.com/STAT545-UBC-students/hw05-rning-wu)."
