"Your_github","Instructions"
"ericjsanders","Please review the hw05 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw05-slumnitz) and [singhg53](https://github.com/STAT545-UBC-students/hw05-singhg53)."
"ErnestL91","Please review the hw05 submission of [seraphinearnold](https://github.com/STAT545-UBC-students/hw05-seraphinearnold) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw05-MaunishUBC)."
"figalit","Please review the hw05 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw05-g-ziyan) and [yukirang](https://github.com/STAT545-UBC-students/hw05-yukirang)."
"fjbasedow","Please review the hw05 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw05-yihaoz) and [zjbthomas](https://github.com/STAT545-UBC-students/hw05-zjbthomas)."
"funkedavid82","Please review the hw05 submission of [vetlebh](https://github.com/STAT545-UBC-students/hw05-vetlebh) and [451error](https://github.com/STAT545-UBC-students/hw05-451error)."
"g-ziyan","Please review the hw05 submission of [yukirang](https://github.com/STAT545-UBC-students/hw05-yukirang) and [albina23](https://github.com/STAT545-UBC-students/hw05-albina23)."
"garyzhubc","Please review the hw05 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw05-Bill1111) and [divita95](https://github.com/STAT545-UBC-students/hw05-divita95)."
"glenn-mcguinness","Please review the hw05 submission of [ShuxianFan](https://github.com/STAT545-UBC-students/hw05-ShuxianFan) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw05-CeciliaLe07)."
"huangjieying","Please review the hw05 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw05-meiqiyu) and [liao02x](https://github.com/STAT545-UBC-students/hw05-liao02x)."
"Irissq28","Please review the hw05 submission of [RetoSterchi](https://github.com/STAT545-UBC-students/hw05-RetoSterchi) and [lh563](https://github.com/STAT545-UBC-students/hw05-lh563)."
"iyaniwura","Please review the hw05 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw05-tsmith93) and [lucymosquera](https://github.com/STAT545-UBC-students/hw05-lucymosquera)."
"j-schaub","Please review the hw05 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw05-Irissq28) and [RetoSterchi](https://github.com/STAT545-UBC-students/hw05-RetoSterchi)."
"janehuang1647","Please review the hw05 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw05-aidanh14) and [bassamjaved](https://github.com/STAT545-UBC-students/hw05-bassamjaved)."
"JasmineLib","Please review the hw05 submission of [huangjieying](https://github.com/STAT545-UBC-students/hw05-huangjieying) and [meiqiyu](https://github.com/STAT545-UBC-students/hw05-meiqiyu)."
"jkioke","Please review the hw05 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw05-rning-wu) and [ericjsanders](https://github.com/STAT545-UBC-students/hw05-ericjsanders)."
"Kate96","Please review the hw05 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw05-liuyadong08) and [curtis77](https://github.com/STAT545-UBC-students/hw05-curtis77)."
"katiezinn","Please review the hw05 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw05-Caroline-Seip) and [ziqiangt](https://github.com/STAT545-UBC-students/hw05-ziqiangt)."
"lh563","Please review the hw05 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw05-chenchenguo) and [iyaniwura](https://github.com/STAT545-UBC-students/hw05-iyaniwura)."
"liao02x","Please review the hw05 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw05-j-schaub) and [Irissq28](https://github.com/STAT545-UBC-students/hw05-Irissq28)."
"liming17","Please review the hw05 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw05-katiezinn) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw05-Caroline-Seip)."
"liuyadong08","Please review the hw05 submission of [curtis77](https://github.com/STAT545-UBC-students/hw05-curtis77) and [lsloboda](https://github.com/STAT545-UBC-students/hw05-lsloboda)."
"lsloboda","Please review the hw05 submission of [liming17](https://github.com/STAT545-UBC-students/hw05-liming17) and [katiezinn](https://github.com/STAT545-UBC-students/hw05-katiezinn)."
"lucymosquera","Please review the hw05 submission of [alorentzian](https://github.com/STAT545-UBC-students/hw05-alorentzian) and [emreerhan](https://github.com/STAT545-UBC-students/hw05-emreerhan)."
"MalcolmNSB","Please review the hw05 submission of [ntjjmak](https://github.com/STAT545-UBC-students/hw05-ntjjmak) and [rachlobay](https://github.com/STAT545-UBC-students/hw05-rachlobay)."
"malvikamitra1","Please review the hw05 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw05-janehuang1647) and [aidanh14](https://github.com/STAT545-UBC-students/hw05-aidanh14)."
"mattsada","Please review the hw05 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw05-funkedavid82) and [vetlebh](https://github.com/STAT545-UBC-students/hw05-vetlebh)."
"MaunishUBC","Please review the hw05 submission of [dirediredocks](https://github.com/STAT545-UBC-students/hw05-dirediredocks) and [eaerh](https://github.com/STAT545-UBC-students/hw05-eaerh)."
"meiqiyu","Please review the hw05 submission of [liao02x](https://github.com/STAT545-UBC-students/hw05-liao02x) and [j-schaub](https://github.com/STAT545-UBC-students/hw05-j-schaub)."
"Mengsuper","Please review the hw05 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw05-Sukeysun) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw05-MalcolmNSB)."
"MielleM","Please review the hw05 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw05-Mengsuper) and [Sukeysun](https://github.com/STAT545-UBC-students/hw05-Sukeysun)."
"Ninadh","Please review the hw05 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw05-alvin-q) and [garyzhubc](https://github.com/STAT545-UBC-students/hw05-garyzhubc)."
"ntjjmak","Please review the hw05 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw05-rachlobay) and [figalit](https://github.com/STAT545-UBC-students/hw05-figalit)."
"ParkerLi","Please review the hw05 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw05-RyanGao67) and [cbnicolau](https://github.com/STAT545-UBC-students/hw05-cbnicolau)."
"QinxinLin","Please review the hw05 submission of [yavyx](https://github.com/STAT545-UBC-students/hw05-yavyx) and [mattsada](https://github.com/STAT545-UBC-students/hw05-mattsada)."
"rachlobay","Please review the hw05 submission of [figalit](https://github.com/STAT545-UBC-students/hw05-figalit) and [g-ziyan](https://github.com/STAT545-UBC-students/hw05-g-ziyan)."
"rasiimwe","Please review the hw05 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw05-tanvimittal71) and [fjbasedow](https://github.com/STAT545-UBC-students/hw05-fjbasedow)."
"RetoSterchi","Please review the hw05 submission of [lh563](https://github.com/STAT545-UBC-students/hw05-lh563) and [chenchenguo](https://github.com/STAT545-UBC-students/hw05-chenchenguo)."
"rning-wu","Please review the hw05 submission of [ericjsanders](https://github.com/STAT545-UBC-students/hw05-ericjsanders) and [slumnitz](https://github.com/STAT545-UBC-students/hw05-slumnitz)."
"RyanGao67","Please review the hw05 submission of [cbnicolau](https://github.com/STAT545-UBC-students/hw05-cbnicolau) and [Ninadh](https://github.com/STAT545-UBC-students/hw05-Ninadh)."
"schignel","Please review the hw05 submission of [malvikamitra1](https://github.com/STAT545-UBC-students/hw05-malvikamitra1) and [janehuang1647](https://github.com/STAT545-UBC-students/hw05-janehuang1647)."
"seraphinearnold","Please review the hw05 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw05-MaunishUBC) and [dirediredocks](https://github.com/STAT545-UBC-students/hw05-dirediredocks)."
"ShreeramSenthi","Please review the hw05 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw05-aleurcelay) and [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw05-glenn-mcguinness)."
"ShuxianFan","Please review the hw05 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw05-CeciliaLe07) and [rasiimwe](https://github.com/STAT545-UBC-students/hw05-rasiimwe)."
"singhg53","Please review the hw05 submission of [ecool50](https://github.com/STAT545-UBC-students/hw05-ecool50) and [zhamadeh](https://github.com/STAT545-UBC-students/hw05-zhamadeh)."
"slumnitz","Please review the hw05 submission of [singhg53](https://github.com/STAT545-UBC-students/hw05-singhg53) and [ecool50](https://github.com/STAT545-UBC-students/hw05-ecool50)."
"Sukeysun","Please review the hw05 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw05-MalcolmNSB) and [ntjjmak](https://github.com/STAT545-UBC-students/hw05-ntjjmak)."
"tanvimittal71","Please review the hw05 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw05-fjbasedow) and [yihaoz](https://github.com/STAT545-UBC-students/hw05-yihaoz)."
"tsmith93","Please review the hw05 submission of [lucymosquera](https://github.com/STAT545-UBC-students/hw05-lucymosquera) and [alorentzian](https://github.com/STAT545-UBC-students/hw05-alorentzian)."
"vetlebh","Please review the hw05 submission of [451error](https://github.com/STAT545-UBC-students/hw05-451error) and [couBC](https://github.com/STAT545-UBC-students/hw05-couBC)."
"xcct2012","Please review the hw05 submission of [Kate96](https://github.com/STAT545-UBC-students/hw05-Kate96) and [liuyadong08](https://github.com/STAT545-UBC-students/hw05-liuyadong08)."
"yavyx","Please review the hw05 submission of [mattsada](https://github.com/STAT545-UBC-students/hw05-mattsada) and [funkedavid82](https://github.com/STAT545-UBC-students/hw05-funkedavid82)."
"yihaoz","Please review the hw05 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw05-zjbthomas) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw05-YuHsiangLo)."
"YuHsiangLo","Please review the hw05 submission of [ParkerLi](https://github.com/STAT545-UBC-students/hw05-ParkerLi) and [RyanGao67](https://github.com/STAT545-UBC-students/hw05-RyanGao67)."
"yukirang","Please review the hw05 submission of [albina23](https://github.com/STAT545-UBC-students/hw05-albina23) and [zuhengxu](https://github.com/STAT545-UBC-students/hw05-zuhengxu)."
"zeeva85","Please review the hw05 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw05-JasmineLib) and [huangjieying](https://github.com/STAT545-UBC-students/hw05-huangjieying)."
"zhamadeh","Please review the hw05 submission of [aschmalor](https://github.com/STAT545-UBC-students/hw05-aschmalor) and [MielleM](https://github.com/STAT545-UBC-students/hw05-MielleM)."
"ziqiangt","Please review the hw05 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw05-acheng-ubc) and [schignel](https://github.com/STAT545-UBC-students/hw05-schignel)."
"zjbthomas","Please review the hw05 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw05-YuHsiangLo) and [ParkerLi](https://github.com/STAT545-UBC-students/hw05-ParkerLi)."
"zuhengxu","Please review the hw05 submission of [ErnestL91](https://github.com/STAT545-UBC-students/hw05-ErnestL91) and [seraphinearnold](https://github.com/STAT545-UBC-students/hw05-seraphinearnold)."
