"Your_github","Instructions"
"451error","Please review the hw03 submission of [Kate96](https://github.com/STAT545-UBC-students/hw03-Kate96) and [rning-wu](https://github.com/STAT545-UBC-students/hw03-rning-wu)."
"acheng-ubc","Please review the hw03 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw03-garyzhubc) and [zjbthomas](https://github.com/STAT545-UBC-students/hw03-zjbthomas)."
"aidanh14","Please review the hw03 submission of [Ninadh](https://github.com/STAT545-UBC-students/hw03-Ninadh) and [liao02x](https://github.com/STAT545-UBC-students/hw03-liao02x)."
"albina23","Please review the hw03 submission of [ntjjmak](https://github.com/STAT545-UBC-students/hw03-ntjjmak) and [JasmineLib](https://github.com/STAT545-UBC-students/hw03-JasmineLib)."
"aleurcelay","Please review the hw03 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw03-slumnitz) and [liuyadong08](https://github.com/STAT545-UBC-students/hw03-liuyadong08)."
"alorentzian","Please review the hw03 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw03-yihaoz) and [aleurcelay](https://github.com/STAT545-UBC-students/hw03-aleurcelay)."
"alvin-q","Please review the hw03 submission of [lh563](https://github.com/STAT545-UBC-students/hw03-lh563) and [Sukeysun](https://github.com/STAT545-UBC-students/hw03-Sukeysun)."
"aschmalor","Please review the hw03 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw03-funkedavid82) and [xcct2012](https://github.com/STAT545-UBC-students/hw03-xcct2012)."
"bassamjaved","Please review the hw03 submission of [seraphinearnold](https://github.com/STAT545-UBC-students/hw03-seraphinearnold) and [lucymosquera](https://github.com/STAT545-UBC-students/hw03-lucymosquera)."
"Bill1111","Please review the hw03 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw03-fjbasedow) and [albina23](https://github.com/STAT545-UBC-students/hw03-albina23)."
"Caroline-Seip","Please review the hw03 submission of [ErnestL91](https://github.com/STAT545-UBC-students/hw03-ErnestL91) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw03-YuHsiangLo)."
"cbnicolau","Please review the hw03 submission of [yukirang](https://github.com/STAT545-UBC-students/hw03-yukirang) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw03-MalcolmNSB)."
"CeciliaLe07","Please review the hw03 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw03-tanvimittal71) and [Mengsuper](https://github.com/STAT545-UBC-students/hw03-Mengsuper)."
"chenchenguo","Please review the hw03 submission of [451error](https://github.com/STAT545-UBC-students/hw03-451error) and [Kate96](https://github.com/STAT545-UBC-students/hw03-Kate96)."
"couBC","Please review the hw03 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw03-ziqiangt) and [g-ziyan](https://github.com/STAT545-UBC-students/hw03-g-ziyan)."
"curtis77","Please review the hw03 submission of [ecool50](https://github.com/STAT545-UBC-students/hw03-ecool50) and [couBC](https://github.com/STAT545-UBC-students/hw03-couBC)."
"dirediredocks","Please review the hw03 submission of [liming17](https://github.com/STAT545-UBC-students/hw03-liming17) and [singhg53](https://github.com/STAT545-UBC-students/hw03-singhg53)."
"divita95","Please review the hw03 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw03-j-schaub) and [lsloboda](https://github.com/STAT545-UBC-students/hw03-lsloboda)."
"ecool50","Please review the hw03 submission of [couBC](https://github.com/STAT545-UBC-students/hw03-couBC) and [ziqiangt](https://github.com/STAT545-UBC-students/hw03-ziqiangt)."
"emreerhan","Please review the hw03 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw03-CeciliaLe07) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw03-tanvimittal71)."
"ericjsanders","Please review the hw03 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw03-Irissq28) and [divita95](https://github.com/STAT545-UBC-students/hw03-divita95)."
"ErnestL91","Please review the hw03 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw03-YuHsiangLo) and [alorentzian](https://github.com/STAT545-UBC-students/hw03-alorentzian)."
"figalit","Please review the hw03 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw03-acheng-ubc) and [garyzhubc](https://github.com/STAT545-UBC-students/hw03-garyzhubc)."
"fjbasedow","Please review the hw03 submission of [albina23](https://github.com/STAT545-UBC-students/hw03-albina23) and [ntjjmak](https://github.com/STAT545-UBC-students/hw03-ntjjmak)."
"funkedavid82","Please review the hw03 submission of [xcct2012](https://github.com/STAT545-UBC-students/hw03-xcct2012) and [iyaniwura](https://github.com/STAT545-UBC-students/hw03-iyaniwura)."
"g-ziyan","Please review the hw03 submission of [schignel](https://github.com/STAT545-UBC-students/hw03-schignel) and [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw03-glenn-mcguinness)."
"garyzhubc","Please review the hw03 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw03-zjbthomas) and [malvikamitra1](https://github.com/STAT545-UBC-students/hw03-malvikamitra1)."
"glenn-mcguinness","Please review the hw03 submission of [aschmalor](https://github.com/STAT545-UBC-students/hw03-aschmalor) and [funkedavid82](https://github.com/STAT545-UBC-students/hw03-funkedavid82)."
"huangjieying","Please review the hw03 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw03-zhamadeh) and [figalit](https://github.com/STAT545-UBC-students/hw03-figalit)."
"Irissq28","Please review the hw03 submission of [divita95](https://github.com/STAT545-UBC-students/hw03-divita95) and [j-schaub](https://github.com/STAT545-UBC-students/hw03-j-schaub)."
"iyaniwura","Please review the hw03 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw03-meiqiyu) and [emreerhan](https://github.com/STAT545-UBC-students/hw03-emreerhan)."
"j-schaub","Please review the hw03 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw03-lsloboda) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw03-ShreeramSenthi)."
"janehuang1647","Please review the hw03 submission of [dirediredocks](https://github.com/STAT545-UBC-students/hw03-dirediredocks) and [liming17](https://github.com/STAT545-UBC-students/hw03-liming17)."
"JasmineLib","Please review the hw03 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw03-aidanh14) and [Ninadh](https://github.com/STAT545-UBC-students/hw03-Ninadh)."
"jkioke","Please review the hw03 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw03-Caroline-Seip) and [ErnestL91](https://github.com/STAT545-UBC-students/hw03-ErnestL91)."
"Kate96","Please review the hw03 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw03-rning-wu) and [rachlobay](https://github.com/STAT545-UBC-students/hw03-rachlobay)."
"katiezinn","Please review the hw03 submission of [ShuxianFan](https://github.com/STAT545-UBC-students/hw03-ShuxianFan) and [huangjieying](https://github.com/STAT545-UBC-students/hw03-huangjieying)."
"lh563","Please review the hw03 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw03-Sukeysun) and [tsmith93](https://github.com/STAT545-UBC-students/hw03-tsmith93)."
"liao02x","Please review the hw03 submission of [MielleM](https://github.com/STAT545-UBC-students/hw03-MielleM) and [bassamjaved](https://github.com/STAT545-UBC-students/hw03-bassamjaved)."
"liming17","Please review the hw03 submission of [singhg53](https://github.com/STAT545-UBC-students/hw03-singhg53) and [chenchenguo](https://github.com/STAT545-UBC-students/hw03-chenchenguo)."
"liuyadong08","Please review the hw03 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw03-alvin-q) and [lh563](https://github.com/STAT545-UBC-students/hw03-lh563)."
"lsloboda","Please review the hw03 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw03-ShreeramSenthi) and [zuhengxu](https://github.com/STAT545-UBC-students/hw03-zuhengxu)."
"lucymosquera","Please review the hw03 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw03-MaunishUBC) and [zeeva85](https://github.com/STAT545-UBC-students/hw03-zeeva85)."
"MalcolmNSB","Please review the hw03 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw03-rasiimwe) and [mattsada](https://github.com/STAT545-UBC-students/hw03-mattsada)."
"malvikamitra1","Please review the hw03 submission of [cbnicolau](https://github.com/STAT545-UBC-students/hw03-cbnicolau) and [yukirang](https://github.com/STAT545-UBC-students/hw03-yukirang)."
"mattsada","Please review the hw03 submission of [RetoSterchi](https://github.com/STAT545-UBC-students/hw03-RetoSterchi) and [janehuang1647](https://github.com/STAT545-UBC-students/hw03-janehuang1647)."
"MaunishUBC","Please review the hw03 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw03-zeeva85) and [jkioke](https://github.com/STAT545-UBC-students/hw03-jkioke)."
"meiqiyu","Please review the hw03 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw03-emreerhan) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw03-CeciliaLe07)."
"Mengsuper","Please review the hw03 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw03-RyanGao67) and [Bill1111](https://github.com/STAT545-UBC-students/hw03-Bill1111)."
"MielleM","Please review the hw03 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw03-bassamjaved) and [seraphinearnold](https://github.com/STAT545-UBC-students/hw03-seraphinearnold)."
"Ninadh","Please review the hw03 submission of [liao02x](https://github.com/STAT545-UBC-students/hw03-liao02x) and [MielleM](https://github.com/STAT545-UBC-students/hw03-MielleM)."
"ntjjmak","Please review the hw03 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw03-JasmineLib) and [aidanh14](https://github.com/STAT545-UBC-students/hw03-aidanh14)."
"ParkerLi","Please review the hw03 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw03-QinxinLin) and [ericjsanders](https://github.com/STAT545-UBC-students/hw03-ericjsanders)."
"QinxinLin","Please review the hw03 submission of [ericjsanders](https://github.com/STAT545-UBC-students/hw03-ericjsanders) and [Irissq28](https://github.com/STAT545-UBC-students/hw03-Irissq28)."
"rachlobay","Please review the hw03 submission of [curtis77](https://github.com/STAT545-UBC-students/hw03-curtis77) and [ecool50](https://github.com/STAT545-UBC-students/hw03-ecool50)."
"rasiimwe","Please review the hw03 submission of [mattsada](https://github.com/STAT545-UBC-students/hw03-mattsada) and [RetoSterchi](https://github.com/STAT545-UBC-students/hw03-RetoSterchi)."
"RetoSterchi","Please review the hw03 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw03-janehuang1647) and [dirediredocks](https://github.com/STAT545-UBC-students/hw03-dirediredocks)."
"rning-wu","Please review the hw03 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw03-rachlobay) and [curtis77](https://github.com/STAT545-UBC-students/hw03-curtis77)."
"RyanGao67","Please review the hw03 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw03-Bill1111) and [fjbasedow](https://github.com/STAT545-UBC-students/hw03-fjbasedow)."
"schignel","Please review the hw03 submission of [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw03-glenn-mcguinness) and [aschmalor](https://github.com/STAT545-UBC-students/hw03-aschmalor)."
"seraphinearnold","Please review the hw03 submission of [lucymosquera](https://github.com/STAT545-UBC-students/hw03-lucymosquera) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw03-MaunishUBC)."
"ShreeramSenthi","Please review the hw03 submission of [zuhengxu](https://github.com/STAT545-UBC-students/hw03-zuhengxu) and [yavyx](https://github.com/STAT545-UBC-students/hw03-yavyx)."
"ShuxianFan","Please review the hw03 submission of [huangjieying](https://github.com/STAT545-UBC-students/hw03-huangjieying) and [zhamadeh](https://github.com/STAT545-UBC-students/hw03-zhamadeh)."
"singhg53","Please review the hw03 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw03-chenchenguo) and [451error](https://github.com/STAT545-UBC-students/hw03-451error)."
"slumnitz","Please review the hw03 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw03-liuyadong08) and [alvin-q](https://github.com/STAT545-UBC-students/hw03-alvin-q)."
"Sukeysun","Please review the hw03 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw03-tsmith93) and [ParkerLi](https://github.com/STAT545-UBC-students/hw03-ParkerLi)."
"tanvimittal71","Please review the hw03 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw03-Mengsuper) and [RyanGao67](https://github.com/STAT545-UBC-students/hw03-RyanGao67)."
"tsmith93","Please review the hw03 submission of [ParkerLi](https://github.com/STAT545-UBC-students/hw03-ParkerLi) and [QinxinLin](https://github.com/STAT545-UBC-students/hw03-QinxinLin)."
"xcct2012","Please review the hw03 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw03-iyaniwura) and [meiqiyu](https://github.com/STAT545-UBC-students/hw03-meiqiyu)."
"yavyx","Please review the hw03 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw03-katiezinn) and [ShuxianFan](https://github.com/STAT545-UBC-students/hw03-ShuxianFan)."
"yihaoz","Please review the hw03 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw03-aleurcelay) and [slumnitz](https://github.com/STAT545-UBC-students/hw03-slumnitz)."
"YuHsiangLo","Please review the hw03 submission of [alorentzian](https://github.com/STAT545-UBC-students/hw03-alorentzian) and [yihaoz](https://github.com/STAT545-UBC-students/hw03-yihaoz)."
"yukirang","Please review the hw03 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw03-MalcolmNSB) and [rasiimwe](https://github.com/STAT545-UBC-students/hw03-rasiimwe)."
"zeeva85","Please review the hw03 submission of [jkioke](https://github.com/STAT545-UBC-students/hw03-jkioke) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw03-Caroline-Seip)."
"zhamadeh","Please review the hw03 submission of [figalit](https://github.com/STAT545-UBC-students/hw03-figalit) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw03-acheng-ubc)."
"ziqiangt","Please review the hw03 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw03-g-ziyan) and [schignel](https://github.com/STAT545-UBC-students/hw03-schignel)."
"zjbthomas","Please review the hw03 submission of [malvikamitra1](https://github.com/STAT545-UBC-students/hw03-malvikamitra1) and [cbnicolau](https://github.com/STAT545-UBC-students/hw03-cbnicolau)."
"zuhengxu","Please review the hw03 submission of [yavyx](https://github.com/STAT545-UBC-students/hw03-yavyx) and [katiezinn](https://github.com/STAT545-UBC-students/hw03-katiezinn)."
