"Your_github","Instructions"
"MielleM","Please review the hw08 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw08-katiezinn) and [ziqiangt](https://github.com/STAT545-UBC-students/hw08-ziqiangt)."
"patriciata","Please review the hw08 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw08-Bill1111) and [tsmith93](https://github.com/STAT545-UBC-students/hw08-tsmith93)."
"QinxinLin","Please review the hw08 submission of [figalit](https://github.com/STAT545-UBC-students/hw08-figalit) and [lsloboda](https://github.com/STAT545-UBC-students/hw08-lsloboda)."
"rachlobay","Please review the hw08 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw08-rning-wu) and [Irissq28](https://github.com/STAT545-UBC-students/hw08-Irissq28)."
"rasiimwe","Please review the hw08 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw08-funkedavid82) and [JasmineLib](https://github.com/STAT545-UBC-students/hw08-JasmineLib)."
"rgryba","Please review the hw08 submission of [lh563](https://github.com/STAT545-UBC-students/hw08-lh563) and [Mengsuper](https://github.com/STAT545-UBC-students/hw08-Mengsuper)."
"rning-wu","Please review the hw08 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw08-Irissq28) and [aidanh14](https://github.com/STAT545-UBC-students/hw08-aidanh14)."
"RyanGao67","Please review the hw08 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw08-rasiimwe) and [funkedavid82](https://github.com/STAT545-UBC-students/hw08-funkedavid82)."
"schignel","Please review the hw08 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw08-Sukeysun) and [yukirang](https://github.com/STAT545-UBC-students/hw08-yukirang)."
"ShreeramSenthi","Please review the hw08 submission of [divita95](https://github.com/STAT545-UBC-students/hw08-divita95) and [liming17](https://github.com/STAT545-UBC-students/hw08-liming17)."
"slumnitz","Please review the hw08 submission of [yavyx](https://github.com/STAT545-UBC-students/hw08-yavyx) and [chenchenguo](https://github.com/STAT545-UBC-students/hw08-chenchenguo)."
"Sukeysun","Please review the hw08 submission of [yukirang](https://github.com/STAT545-UBC-students/hw08-yukirang) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw08-ShreeramSenthi)."
"tanvimittal71","Please review the hw08 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw08-rachlobay) and [rning-wu](https://github.com/STAT545-UBC-students/hw08-rning-wu)."
"tsmith93","Please review the hw08 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw08-QinxinLin) and [figalit](https://github.com/STAT545-UBC-students/hw08-figalit)."
"yavyx","Please review the hw08 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw08-chenchenguo) and [curtis77](https://github.com/STAT545-UBC-students/hw08-curtis77)."
"yihaoz","Please review the hw08 submission of [MielleM](https://github.com/STAT545-UBC-students/hw08-MielleM) and [katiezinn](https://github.com/STAT545-UBC-students/hw08-katiezinn)."
"YuHsiangLo","Please review the hw08 submission of [liao02x](https://github.com/STAT545-UBC-students/hw08-liao02x) and [yihaoz](https://github.com/STAT545-UBC-students/hw08-yihaoz)."
"yukirang","Please review the hw08 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw08-ShreeramSenthi) and [divita95](https://github.com/STAT545-UBC-students/hw08-divita95)."
"zeeva85","Please review the hw08 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw08-zjbthomas) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw08-MalcolmNSB)."
"zhamadeh","Please review the hw08 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw08-bassamjaved) and [ecool50](https://github.com/STAT545-UBC-students/hw08-ecool50)."
"ziqiangt","Please review the hw08 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw08-zhamadeh) and [bassamjaved](https://github.com/STAT545-UBC-students/hw08-bassamjaved)."
"zjbthomas","Please review the hw08 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw08-MalcolmNSB) and [alvin-q](https://github.com/STAT545-UBC-students/hw08-alvin-q)."
