Lesson,Topic
1,Functions Part I
2,Functions Part II
3,R Packages Part I
4,R Packages Part II
5,(Optional) Automation
6,Dashboards Part I
7,R Dashboards Part II
8,Character Data
9,List columns Part I
10,List columns Part II
11,List columns Part III
12,"Overflow, or advanced authoring"
