Lesson,Topic
0,(Optional) Installation
1,Introduction to STAT545 and R
2,R Markdown and Reproducibility
3,Collaboration and Version Control
4,Data Wrangling Part I
5,Data Wrangling Part I
6,Plotting Part I
7,Plotting Part II
8,Tidy data
9,The model-fitting paradigm in R
10,Special data types: factors and dates
11,Tibble joins
12,File input/output
13,Overflow or TBA
