"Your_github","Instructions"
"451error","Please review the hw04 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw04-MaunishUBC) and [seraphinearnold](https://github.com/STAT545-UBC-students/hw04-seraphinearnold)."
"acheng-ubc","Please review the hw04 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw04-YuHsiangLo) and [janehuang1647](https://github.com/STAT545-UBC-students/hw04-janehuang1647)."
"aidanh14","Please review the hw04 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw04-emreerhan) and [rasiimwe](https://github.com/STAT545-UBC-students/hw04-rasiimwe)."
"albina23","Please review the hw04 submission of [ErnestL91](https://github.com/STAT545-UBC-students/hw04-ErnestL91) and [aleurcelay](https://github.com/STAT545-UBC-students/hw04-aleurcelay)."
"aleurcelay","Please review the hw04 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw04-bassamjaved) and [j-schaub](https://github.com/STAT545-UBC-students/hw04-j-schaub)."
"alorentzian","Please review the hw04 submission of [yukirang](https://github.com/STAT545-UBC-students/hw04-yukirang) and [rachlobay](https://github.com/STAT545-UBC-students/hw04-rachlobay)."
"alvin-q","Please review the hw04 submission of [RetoSterchi](https://github.com/STAT545-UBC-students/hw04-RetoSterchi) and [figalit](https://github.com/STAT545-UBC-students/hw04-figalit)."
"aschmalor","Please review the hw04 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw04-alvin-q) and [RetoSterchi](https://github.com/STAT545-UBC-students/hw04-RetoSterchi)."
"bassamjaved","Please review the hw04 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw04-j-schaub) and [ShuxianFan](https://github.com/STAT545-UBC-students/hw04-ShuxianFan)."
"Bill1111","Please review the hw04 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw04-QinxinLin) and [albina23](https://github.com/STAT545-UBC-students/hw04-albina23)."
"Caroline-Seip","Please review the hw04 submission of [451error](https://github.com/STAT545-UBC-students/hw04-451error) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw04-MaunishUBC)."
"cbnicolau","Please review the hw04 submission of [alorentzian](https://github.com/STAT545-UBC-students/hw04-alorentzian) and [yukirang](https://github.com/STAT545-UBC-students/hw04-yukirang)."
"CeciliaLe07","Please review the hw04 submission of [liming17](https://github.com/STAT545-UBC-students/hw04-liming17) and [huangjieying](https://github.com/STAT545-UBC-students/hw04-huangjieying)."
"chenchenguo","Please review the hw04 submission of [zuhengxu](https://github.com/STAT545-UBC-students/hw04-zuhengxu) and [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw04-glenn-mcguinness)."
"couBC","Please review the hw04 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw04-aidanh14) and [emreerhan](https://github.com/STAT545-UBC-students/hw04-emreerhan)."
"curtis77","Please review the hw04 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw04-chenchenguo) and [zuhengxu](https://github.com/STAT545-UBC-students/hw04-zuhengxu)."
"dirediredocks","Please review the hw04 submission of [couBC](https://github.com/STAT545-UBC-students/hw04-couBC) and [aidanh14](https://github.com/STAT545-UBC-students/hw04-aidanh14)."
"divita95","Please review the hw04 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw04-slumnitz) and [singhg53](https://github.com/STAT545-UBC-students/hw04-singhg53)."
"ecool50","Please review the hw04 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw04-Bill1111) and [QinxinLin](https://github.com/STAT545-UBC-students/hw04-QinxinLin)."
"emreerhan","Please review the hw04 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw04-rasiimwe) and [Sukeysun](https://github.com/STAT545-UBC-students/hw04-Sukeysun)."
"ericjsanders","Please review the hw04 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw04-MalcolmNSB) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw04-CeciliaLe07)."
"ErnestL91","Please review the hw04 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw04-aleurcelay) and [bassamjaved](https://github.com/STAT545-UBC-students/hw04-bassamjaved)."
"figalit","Please review the hw04 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw04-funkedavid82) and [lsloboda](https://github.com/STAT545-UBC-students/hw04-lsloboda)."
