"Your_github","Instructions"
"fjbasedow","Please review the hw04 submission of [dirediredocks](https://github.com/STAT545-UBC-students/hw04-dirediredocks) and [couBC](https://github.com/STAT545-UBC-students/hw04-couBC)."
"funkedavid82","Please review the hw04 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw04-lsloboda) and [lh563](https://github.com/STAT545-UBC-students/hw04-lh563)."
"g-ziyan","Please review the hw04 submission of [liao02x](https://github.com/STAT545-UBC-students/hw04-liao02x) and [fjbasedow](https://github.com/STAT545-UBC-students/hw04-fjbasedow)."
"garyzhubc","Please review the hw04 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw04-JasmineLib) and [meiqiyu](https://github.com/STAT545-UBC-students/hw04-meiqiyu)."
"glenn-mcguinness","Please review the hw04 submission of [Kate96](https://github.com/STAT545-UBC-students/hw04-Kate96) and [ntjjmak](https://github.com/STAT545-UBC-students/hw04-ntjjmak)."
"huangjieying","Please review the hw04 submission of [yavyx](https://github.com/STAT545-UBC-students/hw04-yavyx) and [zeeva85](https://github.com/STAT545-UBC-students/hw04-zeeva85)."
"Irissq28","Please review the hw04 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw04-zjbthomas) and [Mengsuper](https://github.com/STAT545-UBC-students/hw04-Mengsuper)."
"iyaniwura","Please review the hw04 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw04-Irissq28) and [zjbthomas](https://github.com/STAT545-UBC-students/hw04-zjbthomas)."
"j-schaub","Please review the hw04 submission of [ShuxianFan](https://github.com/STAT545-UBC-students/hw04-ShuxianFan) and [Ninadh](https://github.com/STAT545-UBC-students/hw04-Ninadh)."
"janehuang1647","Please review the hw04 submission of [xcct2012](https://github.com/STAT545-UBC-students/hw04-xcct2012) and [iyaniwura](https://github.com/STAT545-UBC-students/hw04-iyaniwura)."
"JasmineLib","Please review the hw04 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw04-meiqiyu) and [cbnicolau](https://github.com/STAT545-UBC-students/hw04-cbnicolau)."
"jkioke","Please review the hw04 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw04-acheng-ubc) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw04-YuHsiangLo)."
"Kate96","Please review the hw04 submission of [ntjjmak](https://github.com/STAT545-UBC-students/hw04-ntjjmak) and [yihaoz](https://github.com/STAT545-UBC-students/hw04-yihaoz)."
"katiezinn","Please review the hw04 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw04-zhamadeh) and [malvikamitra1](https://github.com/STAT545-UBC-students/hw04-malvikamitra1)."
"lh563","Please review the hw04 submission of [ParkerLi](https://github.com/STAT545-UBC-students/hw04-ParkerLi) and [curtis77](https://github.com/STAT545-UBC-students/hw04-curtis77)."
"liao02x","Please review the hw04 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw04-fjbasedow) and [dirediredocks](https://github.com/STAT545-UBC-students/hw04-dirediredocks)."
"liming17","Please review the hw04 submission of [huangjieying](https://github.com/STAT545-UBC-students/hw04-huangjieying) and [yavyx](https://github.com/STAT545-UBC-students/hw04-yavyx)."
"liuyadong08","Please review the hw04 submission of [schignel](https://github.com/STAT545-UBC-students/hw04-schignel) and [rning-wu](https://github.com/STAT545-UBC-students/hw04-rning-wu)."
"lsloboda","Please review the hw04 submission of [lh563](https://github.com/STAT545-UBC-students/hw04-lh563) and [ParkerLi](https://github.com/STAT545-UBC-students/hw04-ParkerLi)."
"lucymosquera","Please review the hw04 submission of [ecool50](https://github.com/STAT545-UBC-students/hw04-ecool50) and [Bill1111](https://github.com/STAT545-UBC-students/hw04-Bill1111)."
"MalcolmNSB","Please review the hw04 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw04-CeciliaLe07) and [liming17](https://github.com/STAT545-UBC-students/hw04-liming17)."
"malvikamitra1","Please review the hw04 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw04-g-ziyan) and [liao02x](https://github.com/STAT545-UBC-students/hw04-liao02x)."
"mattsada","Please review the hw04 submission of [jkioke](https://github.com/STAT545-UBC-students/hw04-jkioke) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw04-acheng-ubc)."
"MaunishUBC","Please review the hw04 submission of [seraphinearnold](https://github.com/STAT545-UBC-students/hw04-seraphinearnold) and [MielleM](https://github.com/STAT545-UBC-students/hw04-MielleM)."
"meiqiyu","Please review the hw04 submission of [cbnicolau](https://github.com/STAT545-UBC-students/hw04-cbnicolau) and [alorentzian](https://github.com/STAT545-UBC-students/hw04-alorentzian)."
"Mengsuper","Please review the hw04 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw04-tanvimittal71) and [divita95](https://github.com/STAT545-UBC-students/hw04-divita95)."
"MielleM","Please review the hw04 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw04-ShreeramSenthi) and [aschmalor](https://github.com/STAT545-UBC-students/hw04-aschmalor)."
"Ninadh","Please review the hw04 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw04-Caroline-Seip) and [451error](https://github.com/STAT545-UBC-students/hw04-451error)."
"ntjjmak","Please review the hw04 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw04-yihaoz) and [ericjsanders](https://github.com/STAT545-UBC-students/hw04-ericjsanders)."
"ParkerLi","Please review the hw04 submission of [curtis77](https://github.com/STAT545-UBC-students/hw04-curtis77) and [chenchenguo](https://github.com/STAT545-UBC-students/hw04-chenchenguo)."
"QinxinLin","Please review the hw04 submission of [albina23](https://github.com/STAT545-UBC-students/hw04-albina23) and [ErnestL91](https://github.com/STAT545-UBC-students/hw04-ErnestL91)."
"rachlobay","Please review the hw04 submission of [lucymosquera](https://github.com/STAT545-UBC-students/hw04-lucymosquera) and [ecool50](https://github.com/STAT545-UBC-students/hw04-ecool50)."
"rasiimwe","Please review the hw04 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw04-Sukeysun) and [tsmith93](https://github.com/STAT545-UBC-students/hw04-tsmith93)."
"RetoSterchi","Please review the hw04 submission of [figalit](https://github.com/STAT545-UBC-students/hw04-figalit) and [funkedavid82](https://github.com/STAT545-UBC-students/hw04-funkedavid82)."
"rning-wu","Please review the hw04 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw04-RyanGao67) and [garyzhubc](https://github.com/STAT545-UBC-students/hw04-garyzhubc)."
"RyanGao67","Please review the hw04 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw04-garyzhubc) and [JasmineLib](https://github.com/STAT545-UBC-students/hw04-JasmineLib)."
"schignel","Please review the hw04 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw04-rning-wu) and [RyanGao67](https://github.com/STAT545-UBC-students/hw04-RyanGao67)."
"seraphinearnold","Please review the hw04 submission of [MielleM](https://github.com/STAT545-UBC-students/hw04-MielleM) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw04-ShreeramSenthi)."
"ShreeramSenthi","Please review the hw04 submission of [aschmalor](https://github.com/STAT545-UBC-students/hw04-aschmalor) and [alvin-q](https://github.com/STAT545-UBC-students/hw04-alvin-q)."
"ShuxianFan","Please review the hw04 submission of [Ninadh](https://github.com/STAT545-UBC-students/hw04-Ninadh) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw04-Caroline-Seip)."
"singhg53","Please review the hw04 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw04-ziqiangt) and [katiezinn](https://github.com/STAT545-UBC-students/hw04-katiezinn)."
"slumnitz","Please review the hw04 submission of [singhg53](https://github.com/STAT545-UBC-students/hw04-singhg53) and [ziqiangt](https://github.com/STAT545-UBC-students/hw04-ziqiangt)."
"Sukeysun","Please review the hw04 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw04-tsmith93) and [liuyadong08](https://github.com/STAT545-UBC-students/hw04-liuyadong08)."
"tanvimittal71","Please review the hw04 submission of [divita95](https://github.com/STAT545-UBC-students/hw04-divita95) and [slumnitz](https://github.com/STAT545-UBC-students/hw04-slumnitz)."
"tsmith93","Please review the hw04 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw04-liuyadong08) and [schignel](https://github.com/STAT545-UBC-students/hw04-schignel)."
"xcct2012","Please review the hw04 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw04-iyaniwura) and [Irissq28](https://github.com/STAT545-UBC-students/hw04-Irissq28)."
"yavyx","Please review the hw04 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw04-zeeva85) and [mattsada](https://github.com/STAT545-UBC-students/hw04-mattsada)."
"yihaoz","Please review the hw04 submission of [ericjsanders](https://github.com/STAT545-UBC-students/hw04-ericjsanders) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw04-MalcolmNSB)."
"YuHsiangLo","Please review the hw04 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw04-janehuang1647) and [xcct2012](https://github.com/STAT545-UBC-students/hw04-xcct2012)."
"yukirang","Please review the hw04 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw04-rachlobay) and [lucymosquera](https://github.com/STAT545-UBC-students/hw04-lucymosquera)."
"zeeva85","Please review the hw04 submission of [mattsada](https://github.com/STAT545-UBC-students/hw04-mattsada) and [jkioke](https://github.com/STAT545-UBC-students/hw04-jkioke)."
"zhamadeh","Please review the hw04 submission of [malvikamitra1](https://github.com/STAT545-UBC-students/hw04-malvikamitra1) and [g-ziyan](https://github.com/STAT545-UBC-students/hw04-g-ziyan)."
"ziqiangt","Please review the hw04 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw04-katiezinn) and [zhamadeh](https://github.com/STAT545-UBC-students/hw04-zhamadeh)."
"zjbthomas","Please review the hw04 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw04-Mengsuper) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw04-tanvimittal71)."
"zuhengxu","Please review the hw04 submission of [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw04-glenn-mcguinness) and [Kate96](https://github.com/STAT545-UBC-students/hw04-Kate96)."
