"Your_github","Instructions"
"ecool50","Please review the hw02 submission of [tanvimittal71](https://github.com/STAT545-UBC-students/hw02-tanvimittal71) and [emreerhan](https://github.com/STAT545-UBC-students/hw02-emreerhan)."
"emreerhan","Please review the hw02 submission of [janehuang1647](https://github.com/STAT545-UBC-students/hw02-janehuang1647) and [MaunishUBC](https://github.com/STAT545-UBC-students/hw02-MaunishUBC)."
"ericjsanders","Please review the hw02 submission of [rachlobay](https://github.com/STAT545-UBC-students/hw02-rachlobay) and [malvikamitra1](https://github.com/STAT545-UBC-students/hw02-malvikamitra1)."
"ErnestL91","Please review the hw02 submission of [Mengsuper](https://github.com/STAT545-UBC-students/hw02-Mengsuper) and [Irissq28](https://github.com/STAT545-UBC-students/hw02-Irissq28)."
"figalit","Please review the hw02 submission of [singhg53](https://github.com/STAT545-UBC-students/hw02-singhg53) and [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw02-ShreeramSenthi)."
"fjbasedow","Please review the hw02 submission of [liao02x](https://github.com/STAT545-UBC-students/hw02-liao02x) and [g-ziyan](https://github.com/STAT545-UBC-students/hw02-g-ziyan)."
"funkedavid82","Please review the hw02 submission of [zeeva85](https://github.com/STAT545-UBC-students/hw02-zeeva85) and [seraphinearnold](https://github.com/STAT545-UBC-students/hw02-seraphinearnold)."
"g-ziyan","Please review the hw02 submission of [bassamjaved](https://github.com/STAT545-UBC-students/hw02-bassamjaved) and [ErnestL91](https://github.com/STAT545-UBC-students/hw02-ErnestL91)."
"garyzhubc","Please review the hw02 submission of [figalit](https://github.com/STAT545-UBC-students/hw02-figalit) and [singhg53](https://github.com/STAT545-UBC-students/hw02-singhg53)."
"glenn-mcguinness","Please review the hw02 submission of [slumnitz](https://github.com/STAT545-UBC-students/hw02-slumnitz) and [curtis77](https://github.com/STAT545-UBC-students/hw02-curtis77)."
"huangjieying","Please review the hw02 submission of [MalcolmNSB](https://github.com/STAT545-UBC-students/hw02-MalcolmNSB) and [funkedavid82](https://github.com/STAT545-UBC-students/hw02-funkedavid82)."
"Irissq28","Please review the hw02 submission of [zhamadeh](https://github.com/STAT545-UBC-students/hw02-zhamadeh) and [Kate96](https://github.com/STAT545-UBC-students/hw02-Kate96)."
"iyaniwura","Please review the hw02 submission of [YuHsiangLo](https://github.com/STAT545-UBC-students/hw02-YuHsiangLo) and [j-schaub](https://github.com/STAT545-UBC-students/hw02-j-schaub)."
"j-schaub","Please review the hw02 submission of [yavyx](https://github.com/STAT545-UBC-students/hw02-yavyx) and [QinxinLin](https://github.com/STAT545-UBC-students/hw02-QinxinLin)."
"janehuang1647","Please review the hw02 submission of [MaunishUBC](https://github.com/STAT545-UBC-students/hw02-MaunishUBC) and [zjbthomas](https://github.com/STAT545-UBC-students/hw02-zjbthomas)."
"JasmineLib","Please review the hw02 submission of [ecool50](https://github.com/STAT545-UBC-students/hw02-ecool50) and [tanvimittal71](https://github.com/STAT545-UBC-students/hw02-tanvimittal71)."
"jkioke","Please review the hw02 submission of [aleurcelay](https://github.com/STAT545-UBC-students/hw02-aleurcelay) and [fjbasedow](https://github.com/STAT545-UBC-students/hw02-fjbasedow)."
"Kate96","Please review the hw02 submission of [garyzhubc](https://github.com/STAT545-UBC-students/hw02-garyzhubc) and [figalit](https://github.com/STAT545-UBC-students/hw02-figalit)."
"katiezinn","Please review the hw02 submission of [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw02-glenn-mcguinness) and [slumnitz](https://github.com/STAT545-UBC-students/hw02-slumnitz)."
"lh563","Please review the hw02 submission of [JasmineLib](https://github.com/STAT545-UBC-students/hw02-JasmineLib) and [ecool50](https://github.com/STAT545-UBC-students/hw02-ecool50)."
"liao02x","Please review the hw02 submission of [g-ziyan](https://github.com/STAT545-UBC-students/hw02-g-ziyan) and [bassamjaved](https://github.com/STAT545-UBC-students/hw02-bassamjaved)."
"liming17","Please review the hw02 submission of [dirediredocks](https://github.com/STAT545-UBC-students/hw02-dirediredocks) and [yihaoz](https://github.com/STAT545-UBC-students/hw02-yihaoz)."
"liuyadong08","Please review the hw02 submission of [ShuxianFan](https://github.com/STAT545-UBC-students/hw02-ShuxianFan) and [albina23](https://github.com/STAT545-UBC-students/hw02-albina23)."
"lsloboda","Please review the hw02 submission of [couBC](https://github.com/STAT545-UBC-students/hw02-couBC) and [451error](https://github.com/STAT545-UBC-students/hw02-451error)."
"lucymosquera","Please review the hw02 submission of [iyaniwura](https://github.com/STAT545-UBC-students/hw02-iyaniwura) and [YuHsiangLo](https://github.com/STAT545-UBC-students/hw02-YuHsiangLo)."
"MalcolmNSB","Please review the hw02 submission of [funkedavid82](https://github.com/STAT545-UBC-students/hw02-funkedavid82) and [zeeva85](https://github.com/STAT545-UBC-students/hw02-zeeva85)."
"malvikamitra1","Please review the hw02 submission of [RetoSterchi](https://github.com/STAT545-UBC-students/hw02-RetoSterchi) and [alorentzian](https://github.com/STAT545-UBC-students/hw02-alorentzian)."
"mattsada","Please review the hw02 submission of [CeciliaLe07](https://github.com/STAT545-UBC-students/hw02-CeciliaLe07) and [RyanGao67](https://github.com/STAT545-UBC-students/hw02-RyanGao67)."
"MaunishUBC","Please review the hw02 submission of [zjbthomas](https://github.com/STAT545-UBC-students/hw02-zjbthomas) and [meiqiyu](https://github.com/STAT545-UBC-students/hw02-meiqiyu)."
"meiqiyu","Please review the hw02 submission of [ziqiangt](https://github.com/STAT545-UBC-students/hw02-ziqiangt) and [yukirang](https://github.com/STAT545-UBC-students/hw02-yukirang)."
"Mengsuper","Please review the hw02 submission of [Irissq28](https://github.com/STAT545-UBC-students/hw02-Irissq28) and [zhamadeh](https://github.com/STAT545-UBC-students/hw02-zhamadeh)."
"MielleM","Please review the hw02 submission of [chenchenguo](https://github.com/STAT545-UBC-students/hw02-chenchenguo) and [ericjsanders](https://github.com/STAT545-UBC-students/hw02-ericjsanders)."
"Ninadh","Please review the hw02 submission of [lucymosquera](https://github.com/STAT545-UBC-students/hw02-lucymosquera) and [iyaniwura](https://github.com/STAT545-UBC-students/hw02-iyaniwura)."
"ntjjmak","Please review the hw02 submission of [schignel](https://github.com/STAT545-UBC-students/hw02-schignel) and [mattsada](https://github.com/STAT545-UBC-students/hw02-mattsada)."
"ParkerLi","Please review the hw02 submission of [rning-wu](https://github.com/STAT545-UBC-students/hw02-rning-wu) and [Sukeysun](https://github.com/STAT545-UBC-students/hw02-Sukeysun)."
"QinxinLin","Please review the hw02 submission of [Bill1111](https://github.com/STAT545-UBC-students/hw02-Bill1111) and [aidanh14](https://github.com/STAT545-UBC-students/hw02-aidanh14)."
"rachlobay","Please review the hw02 submission of [malvikamitra1](https://github.com/STAT545-UBC-students/hw02-malvikamitra1) and [RetoSterchi](https://github.com/STAT545-UBC-students/hw02-RetoSterchi)."
"rasiimwe","Please review the hw02 submission of [cbnicolau](https://github.com/STAT545-UBC-students/hw02-cbnicolau) and [xcct2012](https://github.com/STAT545-UBC-students/hw02-xcct2012)."
"RetoSterchi","Please review the hw02 submission of [alorentzian](https://github.com/STAT545-UBC-students/hw02-alorentzian) and [alvin-q](https://github.com/STAT545-UBC-students/hw02-alvin-q)."
"rning-wu","Please review the hw02 submission of [Sukeysun](https://github.com/STAT545-UBC-students/hw02-Sukeysun) and [Caroline-Seip](https://github.com/STAT545-UBC-students/hw02-Caroline-Seip)."
"RyanGao67","Please review the hw02 submission of [liming17](https://github.com/STAT545-UBC-students/hw02-liming17) and [dirediredocks](https://github.com/STAT545-UBC-students/hw02-dirediredocks)."
"schignel","Please review the hw02 submission of [mattsada](https://github.com/STAT545-UBC-students/hw02-mattsada) and [CeciliaLe07](https://github.com/STAT545-UBC-students/hw02-CeciliaLe07)."
"seraphinearnold","Please review the hw02 submission of [tsmith93](https://github.com/STAT545-UBC-students/hw02-tsmith93) and [liuyadong08](https://github.com/STAT545-UBC-students/hw02-liuyadong08)."
"ShreeramSenthi","Please review the hw02 submission of [acheng-ubc](https://github.com/STAT545-UBC-students/hw02-acheng-ubc) and [rasiimwe](https://github.com/STAT545-UBC-students/hw02-rasiimwe)."
"ShuxianFan","Please review the hw02 submission of [albina23](https://github.com/STAT545-UBC-students/hw02-albina23) and [divita95](https://github.com/STAT545-UBC-students/hw02-divita95)."
"singhg53","Please review the hw02 submission of [ShreeramSenthi](https://github.com/STAT545-UBC-students/hw02-ShreeramSenthi) and [acheng-ubc](https://github.com/STAT545-UBC-students/hw02-acheng-ubc)."
"slumnitz","Please review the hw02 submission of [curtis77](https://github.com/STAT545-UBC-students/hw02-curtis77) and [jkioke](https://github.com/STAT545-UBC-students/hw02-jkioke)."
"Sukeysun","Please review the hw02 submission of [Caroline-Seip](https://github.com/STAT545-UBC-students/hw02-Caroline-Seip) and [MielleM](https://github.com/STAT545-UBC-students/hw02-MielleM)."
"tanvimittal71","Please review the hw02 submission of [emreerhan](https://github.com/STAT545-UBC-students/hw02-emreerhan) and [janehuang1647](https://github.com/STAT545-UBC-students/hw02-janehuang1647)."
"tsmith93","Please review the hw02 submission of [liuyadong08](https://github.com/STAT545-UBC-students/hw02-liuyadong08) and [ShuxianFan](https://github.com/STAT545-UBC-students/hw02-ShuxianFan)."
"xcct2012","Please review the hw02 submission of [lh563](https://github.com/STAT545-UBC-students/hw02-lh563) and [JasmineLib](https://github.com/STAT545-UBC-students/hw02-JasmineLib)."
"yavyx","Please review the hw02 submission of [QinxinLin](https://github.com/STAT545-UBC-students/hw02-QinxinLin) and [Bill1111](https://github.com/STAT545-UBC-students/hw02-Bill1111)."
"yihaoz","Please review the hw02 submission of [lsloboda](https://github.com/STAT545-UBC-students/hw02-lsloboda) and [couBC](https://github.com/STAT545-UBC-students/hw02-couBC)."
"YuHsiangLo","Please review the hw02 submission of [j-schaub](https://github.com/STAT545-UBC-students/hw02-j-schaub) and [yavyx](https://github.com/STAT545-UBC-students/hw02-yavyx)."
"yukirang","Please review the hw02 submission of [aschmalor](https://github.com/STAT545-UBC-students/hw02-aschmalor) and [zuhengxu](https://github.com/STAT545-UBC-students/hw02-zuhengxu)."
"zeeva85","Please review the hw02 submission of [seraphinearnold](https://github.com/STAT545-UBC-students/hw02-seraphinearnold) and [tsmith93](https://github.com/STAT545-UBC-students/hw02-tsmith93)."
"zhamadeh","Please review the hw02 submission of [Kate96](https://github.com/STAT545-UBC-students/hw02-Kate96) and [garyzhubc](https://github.com/STAT545-UBC-students/hw02-garyzhubc)."
"ziqiangt","Please review the hw02 submission of [yukirang](https://github.com/STAT545-UBC-students/hw02-yukirang) and [aschmalor](https://github.com/STAT545-UBC-students/hw02-aschmalor)."
"zjbthomas","Please review the hw02 submission of [meiqiyu](https://github.com/STAT545-UBC-students/hw02-meiqiyu) and [ziqiangt](https://github.com/STAT545-UBC-students/hw02-ziqiangt)."
"zuhengxu","Please review the hw02 submission of [ParkerLi](https://github.com/STAT545-UBC-students/hw02-ParkerLi) and [rning-wu](https://github.com/STAT545-UBC-students/hw02-rning-wu)."
