"Your_github","Instructions"
"451error","Please review the hw02 submission of [katiezinn](https://github.com/STAT545-UBC-students/hw02-katiezinn) and [glenn-mcguinness](https://github.com/STAT545-UBC-students/hw02-glenn-mcguinness)."
"acheng-ubc","Please review the hw02 submission of [rasiimwe](https://github.com/STAT545-UBC-students/hw02-rasiimwe) and [cbnicolau](https://github.com/STAT545-UBC-students/hw02-cbnicolau)."
"aidanh14","Please review the hw02 submission of [ntjjmak](https://github.com/STAT545-UBC-students/hw02-ntjjmak) and [schignel](https://github.com/STAT545-UBC-students/hw02-schignel)."
"albina23","Please review the hw02 submission of [divita95](https://github.com/STAT545-UBC-students/hw02-divita95) and [Ninadh](https://github.com/STAT545-UBC-students/hw02-Ninadh)."
"aleurcelay","Please review the hw02 submission of [fjbasedow](https://github.com/STAT545-UBC-students/hw02-fjbasedow) and [liao02x](https://github.com/STAT545-UBC-students/hw02-liao02x)."
"alorentzian","Please review the hw02 submission of [alvin-q](https://github.com/STAT545-UBC-students/hw02-alvin-q) and [huangjieying](https://github.com/STAT545-UBC-students/hw02-huangjieying)."
"alvin-q","Please review the hw02 submission of [huangjieying](https://github.com/STAT545-UBC-students/hw02-huangjieying) and [MalcolmNSB](https://github.com/STAT545-UBC-students/hw02-MalcolmNSB)."
"aschmalor","Please review the hw02 submission of [zuhengxu](https://github.com/STAT545-UBC-students/hw02-zuhengxu) and [ParkerLi](https://github.com/STAT545-UBC-students/hw02-ParkerLi)."
"bassamjaved","Please review the hw02 submission of [ErnestL91](https://github.com/STAT545-UBC-students/hw02-ErnestL91) and [Mengsuper](https://github.com/STAT545-UBC-students/hw02-Mengsuper)."
"Bill1111","Please review the hw02 submission of [aidanh14](https://github.com/STAT545-UBC-students/hw02-aidanh14) and [ntjjmak](https://github.com/STAT545-UBC-students/hw02-ntjjmak)."
"Caroline-Seip","Please review the hw02 submission of [MielleM](https://github.com/STAT545-UBC-students/hw02-MielleM) and [chenchenguo](https://github.com/STAT545-UBC-students/hw02-chenchenguo)."
"cbnicolau","Please review the hw02 submission of [xcct2012](https://github.com/STAT545-UBC-students/hw02-xcct2012) and [lh563](https://github.com/STAT545-UBC-students/hw02-lh563)."
"CeciliaLe07","Please review the hw02 submission of [RyanGao67](https://github.com/STAT545-UBC-students/hw02-RyanGao67) and [liming17](https://github.com/STAT545-UBC-students/hw02-liming17)."
"chenchenguo","Please review the hw02 submission of [ericjsanders](https://github.com/STAT545-UBC-students/hw02-ericjsanders) and [rachlobay](https://github.com/STAT545-UBC-students/hw02-rachlobay)."
"couBC","Please review the hw02 submission of [451error](https://github.com/STAT545-UBC-students/hw02-451error) and [katiezinn](https://github.com/STAT545-UBC-students/hw02-katiezinn)."
"curtis77","Please review the hw02 submission of [jkioke](https://github.com/STAT545-UBC-students/hw02-jkioke) and [aleurcelay](https://github.com/STAT545-UBC-students/hw02-aleurcelay)."
"dirediredocks","Please review the hw02 submission of [yihaoz](https://github.com/STAT545-UBC-students/hw02-yihaoz) and [lsloboda](https://github.com/STAT545-UBC-students/hw02-lsloboda)."
"divita95","Please review the hw02 submission of [Ninadh](https://github.com/STAT545-UBC-students/hw02-Ninadh) and [lucymosquera](https://github.com/STAT545-UBC-students/hw02-lucymosquera)."
